Date,Open,High,Low,Close,Adj Close,Volume
2023-08-25,19297.400391,19339.550781,19229.699219,19265.800781,19265.800781,466500
2023-08-28,19298.349609,19366.849609,19249.699219,19306.050781,19306.050781,248200
2023-08-29,19374.849609,19377.900391,19309.099609,19342.650391,19342.650391,307400
2023-08-30,19433.449219,19452.800781,19334.750000,19347.449219,19347.449219,233000
2023-08-31,19375.550781,19388.199219,19223.650391,19253.800781,19253.800781,562600
2023-09-01,19258.150391,19458.550781,19255.699219,19435.300781,19435.300781,333000
2023-09-04,19525.050781,19545.150391,19432.849609,19528.800781,19528.800781,296800
2023-09-05,19564.650391,19587.050781,19525.750000,19574.900391,19574.900391,256800
2023-09-06,19581.199219,19636.449219,19491.500000,19611.050781,19611.050781,287600
2023-09-07,19598.650391,19737.000000,19550.050781,19727.050781,19727.050781,304900
2023-09-08,19774.800781,19867.150391,19727.050781,19819.949219,19819.949219,288100
2023-09-11,19890.000000,20008.150391,19865.349609,19996.349609,19996.349609,248800
2023-09-12,20110.150391,20110.349609,19914.650391,19993.199219,19993.199219,328100
2023-09-13,19989.500000,20096.900391,19944.099609,20070.000000,20070.000000,251400
2023-09-14,20127.949219,20167.650391,20043.449219,20103.099609,20103.099609,275100
2023-09-15,20156.449219,20222.449219,20129.699219,20192.349609,20192.349609,438200
2023-09-18,20155.949219,20195.349609,20115.699219,20133.300781,20133.300781,264900
2023-09-20,19980.750000,20050.650391,19878.849609,19901.400391,19901.400391,378100
2023-09-21,19840.550781,19848.750000,19709.949219,19742.349609,19742.349609,275100
2023-09-22,19744.849609,19798.650391,19657.500000,19674.250000,19674.250000,246400
2023-09-25,19678.199219,19734.150391,19601.550781,19674.550781,19674.550781,188400
2023-09-26,19682.800781,19699.349609,19637.449219,19664.699219,19664.699219,204900
2023-09-27,19637.050781,19730.699219,19554.000000,19716.449219,19716.449219,203600
2023-09-28,19761.800781,19766.650391,19492.099609,19523.550781,19523.550781,352800
2023-09-29,19581.199219,19726.250000,19551.050781,19638.300781,19638.300781,243500
2023-10-03,19622.400391,19623.199219,19479.650391,19528.750000,19528.750000,221700
2023-10-04,19446.300781,19457.800781,19333.599609,19436.099609,19436.099609,277100
